Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Regionname,Propertycount,BuildingArea_missing,time,time_cont,time_cos,time_sq
Hampton,3/8 Alicia St,2,u,500000.0,PI,Hodges,2016-06-27,13.7,3188,2,1,1,61.0,61.0,1970,-37.9436,145.0027,Southern Metropolitan,5454,0,736722,0.6280851063829788,-0.6932680292037041,0.39449090086011773
Footscray,60 Cross St,3,h,878000.0,SP,Jas,2017-07-15,5.1,3011,3,2,2,163.0,110.36842105263158,1900,-37.80069,144.88199,Western Metropolitan,7570,1,736739,0.6425531914893617,-0.6249817922263516,0.4128746038931644
North Melbourne,19 Shands La,2,t,841000.0,S,Jellis,2017-03-04,2.3,3051,2,1,1,215.0,0.0,2000,-37.7953,144.9437,Northern Metropolitan,6821,0,736361,0.32085106382978723,-0.43061164574291433,0.1029454051607062
Coburg,11 Kerferd St,2,h,941000.0,S,Nelson,2017-05-13,7.8,3058,2,1,2,413.0,150.11052631578946,1890,-37.7355,144.9545,Northern Metropolitan,11204,1,736655,0.571063829787234,-0.9019608494836844,0.326113897691263
Brighton,40 Whyte St,3,h,1785000.0,SP,Buxton,2016-11-12,11.2,3186,3,2,1,404.0,118.0,1953,-37.9228,144.9996,Southern Metropolitan,10579,0,736332,0.29617021276595745,-0.2860442175758541,0.0877167949298325
Brunswick West,4 James St,3,h,1097000.0,S,Walshe,2017-05-13,5.9,3055,3,1,1,372.0,135.05263157894737,2014,-37.7634,144.9434,Northern Metropolitan,7082,1,736655,0.571063829787234,-0.9019608494836844,0.326113897691263
Moonee Ponds,49 Derby St,3,h,855000.0,S,Brad,2016-07-16,6.9,3039,3,1,1,274.0,121.89473684210526,2015,-37.7641,144.9112,Western Metropolitan,6232,1,736404,0.3574468085106383,-0.6249817922263514,0.12776822091444093
Malvern,22 Milton Pde,3,h,2415000.0,S,Jellis,2016-10-15,7.4,3144,3,1,3,696.0,128.0,1910,-37.8462,145.0386,Southern Metropolitan,4675,0,736410,0.3625531914893617,-0.6497021488412739,0.13144481665912178
Roxburgh Park,24 Centaurus Av,3,h,393200.0,S,Raine,2017-07-29,20.6,3064,3,1,1,400.0,141.89473684210526,1980,-37.62464,144.9345,Northern Metropolitan,5833,1,737159,1.0,1.0,1.0
Alphington,4/2 Miller St,2,t,805000.0,S,Miles,2016-11-12,6.4,3078,2,2,3,155.0,140.0,2004,-37.7804,145.0308,Northern Metropolitan,2211,0,736332,0.29617021276595745,-0.2860442175758541,0.0877167949298325
Brighton East,1C Baird St,3,h,1750800.0,S,Purplebricks,2017-05-27,10.3,3187,3,4,2,424.0,201.0,2012,-37.92988,145.01085,Southern Metropolitan,6938,0,737075,0.9285106382978724,0.9008030774472426,0.8621320054323224
Balwyn,101/201 Whitehorse Rd,2,u,635000.0,S,Fletchers,2016-10-08,9.7,3103,2,1,1,70.0,70.0,2014,-37.8116,145.0724,Southern Metropolitan,5682,0,736200,0.18382978723404256,0.4038850357274254,0.033793390674513354
Glenroy,1/47 Lytton St,2,u,442000.0,S,Brad,2016-06-27,13.0,3046,3,1,1,245.0,107.74736842105263,1925,-37.7076,144.9097,Northern Metropolitan,8870,1,736722,0.6280851063829788,-0.6932680292037041,0.39449090086011773
Thornbury,6/89 Ballantyne St,1,u,270000.0,PI,Nelson,2016-11-07,6.5,3071,1,1,1,33.0,33.0,1970,-37.7581,144.9944,Northern Metropolitan,8870,0,736182,0.16851063829787233,0.4899328822003795,0.028395835219556357
Moonee Ponds,36 Aberfeldie St,3,h,1725000.0,PI,Nelson,2016-09-24,6.9,3039,3,2,3,596.0,203.0,1950,-37.7609,144.905,Western Metropolitan,6232,0,736668,0.5821276595744681,-0.8697882538649374,0.3388726120416478
Reservoir,2/65 Purinuan Rd,3,h,635000.0,SP,Ray,2017-06-17,12.0,3073,3,2,2,247.0,130.75842105263158,2000,-37.70952,145.02823999999995,Northern Metropolitan,21650,1,736787,0.683404255319149,-0.4063295122520133,0.46704137618832053
Nunawading,31 Olwen St,4,h,1100000.0,S,Fletchers,2017-07-01,15.4,3131,4,2,3,596.0,136.0,1975,-37.80827,145.18098999999995,Eastern Metropolitan,4973,0,736319,0.2851063829787234,-0.21879551877107517,0.08128564961521051
Brunswick,2 Chambers St,3,h,1691500.0,S,Nelson,2016-09-17,5.2,3056,3,2,3,470.0,152.0,1920,-37.7788,144.9688,Northern Metropolitan,11918,0,736458,0.4034042553191489,-0.8214034466813358,0.16273499320959708
Collingwood,130 Perry St,3,t,910000.0,S,Jellis,2016-09-10,1.6,3066,3,1,1,171.0,113.57894736842105,1970,-37.8006,144.9925,Northern Metropolitan,4553,1,736248,0.2246808510638298,0.15841473287427668,0.05048148483476687
Armadale,8/19 Mercer Rd,2,u,599000.0,S,Jellis,2016-09-03,6.3,3143,2,1,1,76.0,76.0,1964,-37.8543,145.0262,Southern Metropolitan,4836,0,736038,0.04595744680851064,0.9585979602384334,0.0021120869171570847
Mill Park,15 Mockridge Dr,5,h,704500.0,S,Ray,2017-07-08,17.9,3082,5,3,2,656.0,130.0,1970,-37.6641,145.05123,Northern Metropolitan,10529,0,736529,0.46382978723404256,-0.9742864627848509,0.21513807152557718
Cheltenham,42 Snowdon Dr,3,h,975000.0,S,Charlton,2017-08-26,17.9,3192,3,2,2,595.0,114.0,1964,-37.97334,145.08192,Southern Metropolitan,9758,0,737081,0.9336170212765957,0.9142689994009664,0.8716407424173834
Jacana,16 Gavin St,3,h,537000.0,S,Barry,2017-03-18,14.5,3047,3,1,2,600.0,150.07210526315788,2004,-37.6876,144.9095,Northern Metropolitan,851,1,736781,0.6782978723404255,-0.4354316867829626,0.46008800362154817
Canterbury,17 Irilbarra Rd,4,h,3400000.0,S,Jellis,2016-11-19,9.0,3126,4,1,4,845.0,411.0,2008,-37.8184,145.0702,Southern Metropolitan,3265,0,736542,0.4748936170212766,-0.9875835554120111,0.22552394748755092
Keilor Downs,3 Medina Rd,3,h,735000.0,SP,Brad,2017-07-01,15.5,3038,3,2,2,749.0,180.0,1979,-37.72321,144.80882,Western Metropolitan,3656,0,736319,0.2851063829787234,-0.21879551877107517,0.08128564961521051
South Morang,35 Cobblestone Dr,3,h,690000.0,S,Harcourts,2017-07-08,20.5,3752,3,2,2,545.0,196.0,2005,-37.64426,145.1,Northern Metropolitan,7969,0,736529,0.46382978723404256,-0.9742864627848509,0.21513807152557718
Brighton,7 Carpenter St,3,h,2375000.0,S,Buxton,2017-02-25,11.2,3186,3,2,2,470.0,151.44736842105263,1997,-37.9152,144.993,Southern Metropolitan,10579,1,736979,0.8468085106382979,0.5714451753481167,0.7170846536894523
Maidstone,191 Ballarat Rd,3,h,750000.0,VB,C21,2016-04-23,9.2,3012,2,2,1,782.0,156.05263157894737,1972,-37.7829,144.8684,Western Metropolitan,3873,1,736578,0.505531914893617,-0.9993959999183962,0.25556251697600724
Brunswick,13 Percy St,3,h,1055000.0,S,Nelson,2016-05-07,5.2,3056,3,1,1,324.0,153.8421052631579,1930,-37.7653,144.9586,Northern Metropolitan,11918,1,736110,0.1072340425531915,0.7814741351438854,0.011499139882299685
Hawthorn,2/5 Finchley Ct,2,u,806000.0,S,Noel,2016-06-04,4.6,3122,2,1,1,64.0,64.0,1930,-37.8249,145.0342,Southern Metropolitan,11308,0,736032,0.04085106382978723,0.9672394771248867,0.0016688094160253507
Essendon,14 Shaftesbury St,3,h,1580000.0,PI,Frank,2017-08-26,7.5,3040,3,2,1,665.0,195.0,1886,-37.75238,144.92248999999995,Western Metropolitan,9264,0,737081,0.9336170212765957,0.9142689994009664,0.8716407424173834
Melbourne,1101/265 Exhibition St,3,u,895000.0,S,hockingstuart,2017-04-22,2.8,3000,3,2,3,129.36157894736843,129.36157894736843,2013,-37.8095,144.9691,Northern Metropolitan,17496,1,736913,0.7906382978723404,0.25257242193692536,0.6251089180624717
St Kilda,5 Octavia St,2,h,920000.0,S,hockingstuart,2017-04-29,6.1,3182,2,1,0,190.0,105.52631578947368,1940,-37.8579,144.9844,Southern Metropolitan,13240,1,737123,0.9693617021276596,0.9815278520011361,0.9396621095518335
Bentleigh East,93 Parkmore Rd,3,h,1206000.0,S,C21,2016-12-03,13.9,3165,3,1,2,603.0,147.70000000000002,2002,-37.9155,145.0723,Southern Metropolitan,10969,1,736074,0.07659574468085106,0.8864099433524301,0.0058669081032141236
Clayton,56 Eva St,4,h,1250000.0,SP,Ray,2017-08-12,16.7,3168,4,1,1,711.0,96.0,1960,-37.9255,145.11331,South-Eastern Metropolitan,5837,0,736661,0.5761702127659575,-0.8876444302780825,0.3319721140787687
Brunswick,3A Austin Tce,3,h,810000.0,PI,Rendina,2017-02-11,5.2,3056,3,2,3,177.0,122.3157894736842,1970,-37.7609,144.9677,Northern Metropolitan,11918,1,736559,0.48936170212765956,-0.9977668786231532,0.2394748755092802
Brighton East,80 Marriage Rd,3,h,1500000.0,S,Nick,2016-08-06,10.7,3187,3,2,2,315.0,228.0,2000,-37.9199,145.0174,Southern Metropolitan,6938,0,736116,0.1123404255319149,0.7610567432439833,0.012620371208691717
Williamstown,44 Electra St,4,h,2165000.0,SP,Greg,2017-05-06,8.0,3016,4,2,2,450.0,190.0,1910,-37.861,144.8985,Western Metropolitan,6380,0,736445,0.3923404255319149,-0.7798031244015404,0.15393100950656405
Glenroy,14 Wheatsheaf Rd,3,t,720000.0,S,Eview,2017-04-29,13.0,3046,3,2,3,300.0,153.52631578947367,2013,-37.7098,144.9266,Northern Metropolitan,8870,1,737123,0.9693617021276596,0.9815278520011361,0.9396621095518335
West Footscray,140 Essex St,2,h,912500.0,S,Village,2016-12-03,8.2,3012,2,1,1,444.0,98.0,1940,-37.7933,144.876,Western Metropolitan,5058,0,736074,0.07659574468085106,0.8864099433524301,0.0058669081032141236
Hawthorn,27 Falmouth St,3,h,2160000.0,S,Noel,2016-07-30,4.6,3122,3,2,2,387.0,145.89473684210526,1910,-37.82,145.0421,Southern Metropolitan,11308,1,736824,0.7148936170212766,-0.2187955187710754,0.5110728836577637
Point Cook,15 Metcalf Wy,4,h,698000.0,S,hockingstuart,2017-07-15,14.7,3030,4,2,2,448.0,190.0,2012,-37.8914,144.72014,Western Metropolitan,15542,0,736739,0.6425531914893617,-0.6249817922263516,0.4128746038931644
East Melbourne,4/24 Hotham St,2,u,810000.0,S,Biggin,2017-05-13,1.5,3002,2,1,1,944.0,180.94736842105263,1940,-37.8144,144.9896,Northern Metropolitan,3040,1,736655,0.571063829787234,-0.9019608494836844,0.326113897691263
Mount Waverley,1/37 Bennett Av,3,t,900000.0,SA,Fletchers,2017-08-12,14.2,3149,3,2,2,344.0,3.0,2000,-37.85991,145.14523,Eastern Metropolitan,13366,0,736661,0.5761702127659575,-0.8876444302780825,0.3319721140787687
Ormond,688 North Rd,4,h,1486000.0,S,Buxton,2017-05-13,11.8,3204,4,2,1,618.0,182.18421052631578,2009,-37.9051,145.0473,Southern Metropolitan,3578,1,736655,0.571063829787234,-0.9019608494836844,0.326113897691263
Footscray,36 Windsor St,3,h,932000.0,S,Jas,2016-08-13,6.4,3011,2,1,1,451.0,130.0,1910,-37.8023,144.8915,Western Metropolitan,7570,0,736326,0.29106382978723405,-0.2551585253671358,0.08471815301041195
Port Melbourne,137 Ingles St,3,t,950000.0,PI,Frank,2016-11-27,3.8,3207,3,2,2,134.0,134.0,2012,-37.8317,144.9446,Southern Metropolitan,8648,0,736782,0.6791489361702128,-0.43061164574291494,0.46124327750113175
St Kilda,4/285 Barkly St,1,u,451000.0,S,McGrath,2016-11-07,6.1,3182,1,1,1,41.0,41.0,2009,-37.8731,144.9799,Southern Metropolitan,13240,0,736182,0.16851063829787233,0.4899328822003795,0.028395835219556357
Avondale Heights,1/75 Canning St,2,u,470000.0,S,Brad,2017-09-16,9.5,3034,2,1,1,1150.0,130.0,1970,-37.77091,144.86571,Western Metropolitan,4502,1,736793,0.6885106382978723,-0.37680909574734694,0.47404689904934355
Kew,64 Adeney Av,5,h,2660000.0,S,Marshall,2017-08-12,5.4,3101,5,2,2,696.0,207.0,1945,-37.80347,145.0489,Southern Metropolitan,10331,1,736661,0.5761702127659575,-0.8876444302780825,0.3319721140787687
Noble Park,21 Conley St,3,h,660000.0,S,Leyton,2017-06-24,22.7,3174,3,1,2,550.0,112.0,1960,-37.98298,145.17932,South-Eastern Metropolitan,11806,0,736997,0.8621276595744681,0.6476673151720171,0.74326410140335
Jacana,14 Gavin St,3,h,605000.0,S,YPA,2017-09-23,14.0,3047,3,1,0,593.0,107.94736842105263,1888,-37.68775,144.90941999999995,Northern Metropolitan,851,1,737003,0.8672340425531915,0.671775606531289,0.7520948845631508
Gardenvale,66A Gardenvale Rd,3,h,1250000.0,PI,Nick,2017-02-11,9.8,3185,3,2,2,236.0,193.0,2004,-37.8982,145.0121,Southern Metropolitan,534,0,736559,0.48936170212765956,-0.9977668786231532,0.2394748755092802
Port Melbourne,403/99 Nott St,1,u,455500.0,S,hockingstuart,2016-09-24,3.8,3207,1,1,1,54.578947368421055,54.578947368421055,2002,-37.8405,144.9385,Southern Metropolitan,8648,1,736668,0.5821276595744681,-0.8697882538649374,0.3388726120416478
Thornbury,40/337 Station St,1,u,370000.0,VB,Jellis,2016-12-03,6.5,3071,1,1,1,62.0,62.0,1999,-37.7634,145.02100000000004,Northern Metropolitan,8870,0,736074,0.07659574468085106,0.8864099433524301,0.0058669081032141236
Brighton,4/34 Elwood St,3,h,1171000.0,S,Nick,2016-08-28,11.2,3186,3,2,2,279.0,151.0,1970,-37.9002,144.9928,Southern Metropolitan,10579,1,736776,0.6740425531914893,-0.4593423835214421,0.4543333635129017
Mont Albert,1 Howson Ct,4,h,2100000.0,VB,Harcourts,2017-05-13,11.8,3127,4,2,5,719.0,271.0,1950,-37.812,145.1082,Eastern Metropolitan,2079,0,736655,0.571063829787234,-0.9019608494836844,0.326113897691263
Kew,3/40 Rowland St,2,u,891000.0,S,Jellis,2016-05-28,5.6,3101,2,1,1,121.0,98.61894736842105,1925,-37.8126,145.0534,Southern Metropolitan,10331,1,736740,0.6434042553191489,-0.6207984922906896,0.41396903576278854
Altona North,10 Murphy St,4,h,965000.0,SP,Gunn&Co,2016-10-15,11.1,3025,4,1,4,851.0,196.42105263157896,1955,-37.8345,144.8444,Western Metropolitan,5132,1,736410,0.3625531914893617,-0.6497021488412739,0.13144481665912178
Reservoir,197 Albert St,2,h,365000.0,PI,Barry,2016-05-07,11.2,3073,2,1,1,360.0,83.0,1960,-37.7273,145.0254,Northern Metropolitan,21650,0,736110,0.1072340425531915,0.7814741351438854,0.011499139882299685
Camberwell,16 Callanish Rd,3,h,2220000.0,S,Marshall,2016-11-27,7.8,3124,3,2,2,850.0,195.42105263157896,2011,-37.8456,145.0865,Southern Metropolitan,8920,1,736782,0.6791489361702128,-0.43061164574291494,0.46124327750113175
Niddrie,35 Spring St,4,h,1010000.0,S,Barry,2017-05-27,10.4,3042,4,2,2,650.0,193.3394736842105,2014,-37.73327000000001,144.87482,Western Metropolitan,2291,1,737075,0.9285106382978724,0.9008030774472426,0.8621320054323224
Hughesdale,3/14 Rugby Rd,2,u,455000.0,S,Fletchers,2016-04-16,13.0,3166,2,1,2,60.0,60.0,1960,-37.8942,145.0867,Southern Metropolitan,3145,0,736368,0.32680851063829786,-0.4640856639701093,0.10680380262562245
Williamstown,146 Ferguson St,3,h,832000.0,S,Williams,2017-09-23,6.8,3016,3,1,1,269.0,130.78947368421052,2012,-37.85808,144.89268,Western Metropolitan,6380,1,737003,0.8672340425531915,0.671775606531289,0.7520948845631508
Travancore,1/15 Flemington St,2,t,856000.0,S,Nelson,2017-06-24,4.3,3032,2,1,2,326.0,124.26315789473684,1996,-37.78281,144.93567,Western Metropolitan,1052,1,736997,0.8621276595744681,0.6476673151720171,0.74326410140335
Doncaster,18 Roseland Gr,3,h,1152500.0,S,Barry,2016-11-19,13.9,3108,3,2,2,648.0,129.0,1980,-37.7798,145.1368,Eastern Metropolitan,9028,0,736542,0.4748936170212766,-0.9875835554120111,0.22552394748755092
Moonee Ponds,4/6 Turner St,2,u,600000.0,S,Woodards,2016-09-24,6.9,3039,2,1,1,166.0,81.0,1965,-37.7624,144.9365,Western Metropolitan,6232,0,736668,0.5821276595744681,-0.8697882538649374,0.3388726120416478
Brighton,6c Lindsay St,3,u,1620000.0,S,Buxton,2016-11-27,11.2,3186,3,2,2,231.0,150.10526315789474,1970,-37.9121,144.9953,Southern Metropolitan,10579,1,736782,0.6791489361702128,-0.43061164574291494,0.46124327750113175
Keilor East,21 Henry St,4,t,807000.0,S,Brad,2016-05-22,12.8,3033,4,2,2,319.0,150.2821052631579,1940,-37.7393,144.8648,Western Metropolitan,5629,1,736560,0.4902127659574468,-0.9981097779620154,0.2403085559076505
Surrey Hills,28 Guildford Rd,3,h,2009000.0,S,Noel,2016-09-03,11.2,3127,3,1,2,843.0,196.21052631578948,1970,-37.822,145.0897,Southern Metropolitan,5457,1,736038,0.04595744680851064,0.9585979602384334,0.0021120869171570847
McKinnon,1/89 Wheatley Rd,3,u,960000.0,S,Buxton,2017-06-17,11.4,3204,3,2,3,220.0,134.21052631578948,1995,-37.90958,145.03371,Southern Metropolitan,2397,1,736787,0.683404255319149,-0.4063295122520133,0.46704137618832053
Northcote,198 Victoria Rd,2,h,970000.0,PI,LITTLE,2017-05-20,5.5,3070,2,1,1,326.0,122.57894736842105,1999,-37.7681,145.0119,Northern Metropolitan,11364,1,736865,0.7497872340425532,-0.0013368475395042162,0.5621808963331825
Wantirna South,15 Mara Cl,4,h,1330000.0,S,Barry,2017-08-26,14.7,3152,4,2,2,717.0,191.0,1980,-37.86887,145.22116,Eastern Metropolitan,7082,0,737081,0.9336170212765957,0.9142689994009664,0.8716407424173834
Newport,34 Franklin St,2,h,910000.0,S,Greg,2017-02-11,8.4,3015,2,1,1,264.0,125.26315789473684,1950,-37.8469,144.8872,Western Metropolitan,5498,1,736559,0.48936170212765956,-0.9977668786231532,0.2394748755092802
Brunswick East,21 Roberts St,3,t,899000.0,SP,Jellis,2016-05-07,4.5,3057,3,2,1,116.0,124.0,2007,-37.7667,144.9821,Northern Metropolitan,5533,0,736110,0.1072340425531915,0.7814741351438854,0.011499139882299685
Craigieburn,13 Aston St,4,h,665000.0,PI,RE,2017-07-01,20.6,3064,4,2,2,756.0,236.0,2007,-37.58885,144.90135,Northern Metropolitan,15510,0,736319,0.2851063829787234,-0.21879551877107517,0.08128564961521051
Oak Park,40 Winifred St,4,h,865000.0,S,Brad,2016-12-03,11.5,3046,4,1,2,696.0,160.0,1955,-37.7209,144.9158,Northern Metropolitan,2651,0,736074,0.07659574468085106,0.8864099433524301,0.0058669081032141236
Templestowe Lower,275 Thompsons Rd,3,h,1250000.0,VB,Barry,2017-09-23,12.4,3107,3,2,2,838.0,172.78947368421052,1960,-37.76649000000001,145.10623,Eastern Metropolitan,5420,1,737003,0.8672340425531915,0.671775606531289,0.7520948845631508
McKinnon,77 Nicholson St,2,h,1250000.0,SP,McGrath,2017-05-27,11.4,3204,2,1,2,368.0,144.51789473684212,1920,-37.91304,145.0373,Southern Metropolitan,2397,1,737075,0.9285106382978724,0.9008030774472426,0.8621320054323224
Eltham North,3 Michael Ct,6,h,1115000.0,S,Barry,2017-08-19,18.0,3095,6,3,4,966.0,332.0,1990,-37.68927,145.1491,Eastern Metropolitan,2346,0,736871,0.7548936170212766,0.030742657968892046,0.5698643730194658
Ashwood,14 Ashwood Dr,3,h,1305000.0,S,Jellis,2017-02-25,12.2,3147,3,1,1,760.0,120.0,1960,-37.858,145.1038,Southern Metropolitan,2894,0,736979,0.8468085106382979,0.5714451753481167,0.7170846536894523
Flemington,8 John St,2,h,990000.0,S,Nelson,2017-05-27,3.4,3031,2,1,1,180.0,82.0,1900,-37.7839,144.92727,Northern Metropolitan,3593,0,737075,0.9285106382978724,0.9008030774472426,0.8621320054323224
Sunshine,115 Wright St,3,h,660000.0,S,Douglas,2017-04-29,12.6,3020,3,2,2,660.0,162.21052631578948,1910,-37.7954,144.8246,Western Metropolitan,3755,1,737123,0.9693617021276596,0.9815278520011361,0.9396621095518335
Heidelberg West,290 Oriel Rd,3,h,652000.0,S,Barry,2017-02-11,9.4,3081,3,1,0,589.0,135.1578947368421,1960,-37.7356,145.0448,Eastern Metropolitan,2674,1,736559,0.48936170212765956,-0.9977668786231532,0.2394748755092802
Glen Iris,8/18 Edgar St,2,u,680000.0,S,hockingstuart,2016-10-15,9.2,3146,2,1,1,69.78947368421052,69.78947368421052,1926,-37.8566,145.0454,Southern Metropolitan,10412,1,736410,0.3625531914893617,-0.6497021488412739,0.13144481665912178
Preston,21 Robeson St,4,h,1110000.0,S,Nelson,2017-05-20,8.8,3072,4,1,2,556.0,167.78947368421052,1935,-37.7489,144.9861,Northern Metropolitan,14577,1,736865,0.7497872340425532,-0.0013368475395042162,0.5621808963331825
South Yarra,18 Avoca St,4,h,5700000.0,S,Castran,2016-11-12,3.3,3141,4,2,0,292.0,272.0,1880,-37.8377,144.9894,Southern Metropolitan,14887,0,736332,0.29617021276595745,-0.2860442175758541,0.0877167949298325
Footscray,5/248 Gordon St,2,u,395000.0,S,Sweeney,2017-07-15,5.1,3011,2,1,1,73.0,73.0,1970,-37.79711,144.88825,Western Metropolitan,7570,0,736739,0.6425531914893617,-0.6249817922263516,0.4128746038931644
Richmond,3/24 Davison St,2,u,479000.0,S,Biggin,2017-03-04,2.6,3121,2,1,1,534.0,123.78947368421052,1970,-37.8123,145.0081,Northern Metropolitan,14949,1,736361,0.32085106382978723,-0.43061164574291433,0.1029454051607062
Hughesdale,2/3 Bowen St,2,u,648000.0,S,Ray,2016-06-18,13.0,3166,2,1,1,69.78947368421052,69.78947368421052,1935,-37.9014,145.0824,Southern Metropolitan,3145,1,736452,0.3982978723404255,-0.8026846115991687,0.1586411951109099
Windsor,1/24 Green St,3,h,1200000.0,S,Biggin,2016-05-28,5.1,3181,3,1,1,116.0,116.89473684210526,1940,-37.8533,144.9913,Southern Metropolitan,4380,1,736740,0.6434042553191489,-0.6207984922906896,0.41396903576278854
South Yarra,1/215 Williams Rd,2,u,595000.0,S,Kay,2017-04-29,3.3,3141,2,1,2,69.78947368421052,69.78947368421052,1960,-37.8447,145.0037,Southern Metropolitan,14887,1,737123,0.9693617021276596,0.9815278520011361,0.9396621095518335
Toorak,2/703 Orrong Rd,2,u,1450000.0,PI,Williams,2016-10-08,4.6,3142,2,2,2,87.57894736842105,87.57894736842105,1990,-37.8414,145.0137,Southern Metropolitan,7217,1,736200,0.18382978723404256,0.4038850357274254,0.033793390674513354
Elsternwick,14/18 King St,2,u,537000.0,S,Biggin,2016-12-10,8.5,3185,2,1,1,79.0,79.0,1970,-37.8838,145.0095,Southern Metropolitan,4898,0,736284,0.2553191489361702,-0.0334149770076743,0.06518786781349026
Niddrie,26 Nolan St,3,h,1076000.0,S,Barry,2016-04-16,11.2,3042,3,1,1,654.0,170.94736842105263,2007,-37.7412,144.8888,Western Metropolitan,2291,1,736368,0.32680851063829786,-0.4640856639701093,0.10680380262562245
Sunshine North,10 Gresford St,3,h,701000.0,S,Douglas,2017-03-04,13.3,3020,3,2,0,630.0,165.77,2011,-37.7692,144.8348,Western Metropolitan,4217,1,736361,0.32085106382978723,-0.43061164574291433,0.1029454051607062
Ferntree Gully,2/6 Simpson Rd,2,h,594000.0,S,Ray,2017-08-26,24.8,3156,2,1,1,550.0,160.6315789473684,1970,-37.87837,145.28104,Eastern Metropolitan,10788,1,737081,0.9336170212765957,0.9142689994009664,0.8716407424173834
Mont Albert,8 Gawler Ct,4,h,1865000.0,S,Fletchers,2017-05-06,11.8,3127,4,2,2,609.0,163.3257894736842,1960,-37.8149,145.11,Eastern Metropolitan,2079,1,736445,0.3923404255319149,-0.7798031244015404,0.15393100950656405
Clayton South,2/21 Oakes Av,2,u,575000.0,SP,Buxton,2017-09-03,17.5,3169,2,1,2,914.0,89.0,1970,-37.93524,145.1306,South-Eastern Metropolitan,4734,0,736403,0.3565957446808511,-0.6207984922906891,0.12716052512449075
Beaumaris,7 Haydens Rd,3,t,2030000.0,PI,Buxton,2017-09-16,17.3,3193,3,3,2,725.0,188.29473684210527,1930,-37.98667,145.02796,Southern Metropolitan,5366,1,736793,0.6885106382978723,-0.37680909574734694,0.47404689904934355
Essendon,8/19 Fletcher St,2,u,370000.0,VB,Rendina,2017-02-25,8.0,3040,2,1,0,69.78947368421052,69.78947368421052,1980,-37.7558,144.9233,Western Metropolitan,9264,1,736979,0.8468085106382979,0.5714451753481167,0.7170846536894523
Heidelberg West,1 Ebony Pde,3,h,710000.0,S,William,2017-07-01,8.8,3081,3,1,1,577.0,138.51052631578946,2006,-37.74307,145.0399,Eastern Metropolitan,2674,1,736319,0.2851063829787234,-0.21879551877107517,0.08128564961521051
Gisborne,7 Wyralla Cr,6,h,650000.0,SP,Raine,2017-09-16,45.9,3437,6,2,2,1301.0,262.19736842105266,1985,-37.50733,144.58666000000005,Northern Victoria,3376,1,736793,0.6885106382978723,-0.37680909574734694,0.47404689904934355
Prahran,7/72 Williams Rd,2,u,550000.0,SP,Thomson,2017-05-13,4.5,3181,2,1,1,72.0,69.0,1976,-37.8542,145.0024,Southern Metropolitan,7717,0,736655,0.571063829787234,-0.9019608494836844,0.326113897691263
Strathmore,7 Colclough Ct,5,h,960000.0,VB,Nelson,2016-06-27,9.7,3041,5,3,2,387.0,192.3684210526316,1960,-37.7225,144.9055,Western Metropolitan,3284,1,736722,0.6280851063829788,-0.6932680292037041,0.39449090086011773
Brunswick East,192 Blyth St,3,h,1600000.0,S,Jellis,2016-11-27,4.5,3057,3,1,2,812.0,113.0,1920,-37.7673,144.9782,Northern Metropolitan,5533,0,736782,0.6791489361702128,-0.43061164574291494,0.46124327750113175
Fitzroy North,35 Birkenhead St,2,h,1290000.0,S,Chambers,2017-03-18,3.5,3068,2,1,0,136.0,92.0,1890,-37.7819,144.9824,Northern Metropolitan,6244,0,736781,0.6782978723404255,-0.4354316867829626,0.46008800362154817
Bentleigh East,5D MacKie Rd,3,t,950000.0,PI,Buxton,2017-06-17,13.8,3165,3,2,2,163.0,123.63157894736842,1970,-37.9217,145.0733,Southern Metropolitan,10969,1,736787,0.683404255319149,-0.4063295122520133,0.46704137618832053
Campbellfield,7 Keown Ct,3,h,455000.0,S,YPA,2016-12-03,14.5,3061,3,1,1,766.0,165.1578947368421,1995,-37.6804,144.9664,Northern Metropolitan,1889,1,736074,0.07659574468085106,0.8864099433524301,0.0058669081032141236
Pascoe Vale,21 Stennis St,3,h,1199000.0,S,Nelson,2017-06-17,8.5,3044,3,2,4,689.0,165.5,1950,-37.73072,144.94829,Northern Metropolitan,7485,0,736787,0.683404255319149,-0.4063295122520133,0.46704137618832053
Richmond,3/61 Stawell St,2,u,696000.0,S,Jellis,2016-06-27,2.6,3121,2,2,1,68.0,68.0,2008,-37.822,145.0104,Northern Metropolitan,14949,0,736722,0.6280851063829788,-0.6932680292037041,0.39449090086011773
Moonee Ponds,29 Winchester St,2,h,1015000.0,S,Nelson,2016-05-14,6.9,3039,2,1,1,228.0,125.0,1910,-37.7685,144.9183,Western Metropolitan,6232,0,736320,0.28595744680851065,-0.22401019408829695,0.0817716613852422
Ivanhoe,2/29 St Elmo Rd,1,u,385000.0,SP,hockingstuart,2016-07-30,7.9,3079,1,1,1,54.578947368421055,54.578947368421055,1970,-37.7638,145.0458,Eastern Metropolitan,5549,1,736824,0.7148936170212766,-0.2187955187710754,0.5110728836577637
